"expense_id";"user_id";"expense_amount";"discount_percentage";"frequency";"expense_type";"rating"
"1";"27891";"93.44";"17.123";"1";"D";"8"
"2";"26500";"55.36";"3.521";"4";"E";"1"
"3";"23920";"6.61";"9.265";"19";"C";"6"
"4";"12811";"59.51";"35.662";"1";"C";"5"
"5";"24835";"80.50";"12.462";"4";"B";"8"
"6";"9793";"47.57";"22.158";"13";"A";"4"
"7";"12153";"82.55";"23.345";"13";"A";"2"
"8";"18605";"22.99";"6.127";"2";"D";"3"
"9";"26760";"17.58";"53.547";"4";"E";"9"
"10";"24841";"48.80";"39.898";"3";"A";"9"
"11";"10338";"86.02";"31.852";"15";"D";"9"
"12";"18225";"84.20";"8.623";"7";"B";"8"
"13";"13458";"47.82";"19.396";"19";"C";"1"
"14";"8138";"17.07";"15.817";"17";"D";"1"
"15";"3191";"93.73";"13.518";"12";"F";"10"
"16";"26846";"60.98";"38.748";"12";" ";"6"
"17";"17646";"86.01";"46.240";"11";"D";"2"
"18";"25231";"13.72";"8.167";"3";" ";"9"
"19";"17069";"7.01";"11.266";"5";"C";"4"
"20";"7824";"84.39";"31.105";"7";"E";"5"
"21";"12074";"46.39";"20.560";"18";"F";"1"
"22";"25056";"16.77";"53.143";"12";"F";"7"
"23";"24503";"67.69";"51.130";"3";"C";"8"
"24";"26193";"59.38";"15.284";"5";"A";"10"
"25";"10670";"73.68";"17.318";"1";" ";"8"
"26";"20775";"68.88";"50.800";"17";"A";"6"
"27";"13070";"26.57";"6.024";"8";"A";"8"
"28";"18908";"60.74";"12.350";"12";"A";"7"
"29";"2381";"52.26";"16.395";"14";"B";"6"
"30";"19661";"25.32";"12.491";"17";"E";"8"
"31";"3452";"96.26";"8.927";"9";"C";"3"
"32";"28778";"36.52";"15.855";"9";"B";"3"
"33";"23569";"46.56";"13.986";"5";"F";"8"
"34";"7304";"97.14";"36.956";"14";"C";"8"
"35";"25244";"7.06";"8.876";"3";"C";"10"
"36";"26725";"35.94";"22.906";"3";"E";"8"
"37";"23929";"45.75";"16.336";"10";" ";"6"
"38";"9120";"11.32";"12.516";"2";"E";"1"
"39";"1921";"17.66";"39.635";"14";"D";"1"
"40";"4503";"67.75";"35.379";"3";"B";"2"
"41";"12383";"89.41";"46.878";"12";"E";"1"
"42";"10134";"46.54";"46.825";"11";"C";"2"
"43";"12304";"53.18";"41.834";"13";"F";"9"
"44";"29284";"79.28";"10.693";"8";"F";"8"
"45";"2266";"82.57";"46.503";"17";"B";"2"
"46";"9404";"20.42";"39.691";"5";"F";"3"
"47";"25380";"29.60";"23.752";"7";"A";"4"
"48";"21572";"49.90";"7.613";"3";"E";"9"
"49";"12589";"59.21";"17.938";"2";"D";"6"
"50";"1935";"57.57";"23.370";"1";"E";"2"
"51";"10333";"88.52";"49.245";"18";"E";"7"
"52";"19366";"9.31";"13.525";"5";" ";"10"
"53";"26710";"18.66";"53.031";"11";"F";"8"
"54";"19169";"29.74";"50.486";"2";"C";"5"
"55";"3747";"70.65";"6.659";"7";"D";"8"
"56";"5255";"25.32";"35.205";"16";"C";"1"
"57";"1898";"42.35";"29.078";"10";"F";"1"
"58";"23382";"5.02";"14.260";"5";"B";"1"
"59";"10287";"17.36";"20.316";"17";"D";"7"
"60";"12532";"47.61";"24.894";"10";"E";"6"
"61";"6647";"66.72";"52.413";"19";"F";"4"
"62";"25302";"56.28";"42.062";"14";"E";"9"
"63";"2961";"97.52";"26.003";"6";"C";"9"
"64";"9910";"22.53";"49.225";"2";"B";"5"
"65";"524";"72.43";"40.482";"12";"A";"10"
"66";"3809";"40.87";"51.774";"6";"B";"4"
"67";"12403";"94.21";"9.301";"10";" ";"6"
"68";"25909";"57.44";"24.613";"5";"D";"6"
"69";"27396";"77.16";"23.145";"17";"D";"8"
"70";"15944";"91.66";"23.162";"13";"E";"8"
"71";"15897";"65.91";"9.274";"13";"E";"6"
"72";"12529";"16.57";"11.858";"12";"F";"4"
"73";"7278";"49.14";"10.182";"8";"A";"10"
"74";"4788";"7.49";"30.342";"11";"E";"10"
"75";"11260";"26.42";"20.586";"7";"A";"5"
"76";"16394";"83.31";"13.984";"10";"B";"8"
"77";"12771";"45.56";"49.164";"10";"E";"10"
"78";"9425";"75.15";"51.164";"16";"C";"10"
"79";"3607";"95.64";"10.353";"8";"F";"4"
"80";"12656";"94.04";"39.389";"10";"C";"10"
"81";"21238";"32.11";"35.588";"13";"D";"4"
"82";"8087";"15.59";"41.115";"17";"D";"10"
"83";"17444";"41.58";"19.653";"5";" ";"5"
"84";"25500";"39.35";"26.551";"4";"A";"10"
"85";"20647";"63.24";"6.621";"18";"C";"7"
"86";"13132";"34.62";"21.884";"8";"C";"5"
"87";"15651";"44.78";"10.243";"13";"A";"8"
"88";"28938";"50.29";"23.232";"2";"B";"1"
"89";"5096";"23.72";"49.606";"10";"A";"6"
"90";"26242";"75.92";"38.590";"16";"D";"1"
"91";"28531";"71.90";"13.085";"8";"D";"6"
"92";"5892";"33.53";"12.070";"17";"A";"10"
"93";"8306";"11.51";"16.763";"7";"E";"1"
"94";"18224";"90.18";"35.815";"7";"D";"1"
"95";"8879";"94.84";"28.097";"12";"A";"9"
"96";"2979";"65.15";"46.036";"7";"F";"8"
"97";"20462";"97.53";"21.594";"17";"F";"8"
"98";"3765";"71.79";"18.197";"19";"F";"3"
"99";"7296";"24.93";"49.100";"18";"E";"7"
"100";"14991";"80.57";"4.224";"5";"A";"4"
"101";"11718";"96.34";"24.715";"11";"E";"7"
"102";"19272";"77.18";"37.602";"11";"F";"9"
"103";"3786";"77.93";"37.267";"3";"B";"6"
"104";"7580";"20.54";"30.307";"5";"C";"9"
"105";"12099";"60.12";"30.641";"14";"D";"3"
"106";"24246";"5.89";"27.164";"15";"C";"3"
"107";"13627";"31.78";"19.529";"4";"D";"7"
"108";"9110";"40.49";"31.823";"3";"C";"9"
"109";"6902";"12.78";"37.189";"18";" ";"8"
"110";"10074";"84.88";"10.078";"4";"B";"3"
"111";"8412";"12.02";"51.262";"11";"B";"10"
"112";"8350";"27.21";"21.561";"5";"B";"10"
"113";"11224";"9.45";"43.231";"16";"C";"1"
"114";"13680";"45.99";"32.553";"1";" ";"8"
"115";"27476";"51.26";"16.734";"13";"E";"5"
"116";"25665";"94.17";"13.154";"4";"F";"10"
"117";"7550";"99.98";"41.468";"12";"F";"8"
"118";"26563";"79.90";"5.974";"3";"F";"9"
"119";"13783";"24.02";"36.846";"3";"D";"4"
"120";"18618";"12.36";"10.196";"3";"B";"3"
"121";"15248";"56.82";"7.686";"3";"F";"7"
"122";"19177";"50.71";"7.063";"18";"C";"2"
"123";"16528";"52.41";"25.336";"8";"B";"3"
"124";"4588";"68.49";"26.416";"13";"D";"9"
"125";"4149";"65.85";"18.462";"7";"F";"10"
"126";"7079";"22.40";"24.392";"11";"C";"10"
"127";"5812";"7.03";"18.190";"7";"E";"10"
"128";"14028";"34.10";"34.090";"17";"E";"9"
"129";"17867";"89.88";"37.044";"5";"A";"7"
"130";"27882";"63.98";"33.171";"10";"F";"9"
"131";"5348";"34.39";"53.704";"11";"F";"10"
"132";"13960";"36.06";"7.738";"17";"F";"6"
"133";"28755";"46.54";"54.351";"9";"E";"9"
"134";"18504";"48.26";"17.414";"9";"F";"7"
"135";"12326";"37.85";"7.343";"11";"B";"7"
"136";"9305";"59.62";"38.630";"16";"A";"4"
"137";"1782";"97.11";"49.671";"13";" ";"2"
"138";"4029";"14.90";"33.897";"16";"E";"8"
"139";"21893";"32.08";"14.218";"18";"C";"9"
"140";"19357";"23.11";"53.764";"4";"C";"7"
"141";"13587";"58.25";"41.093";"5";"B";"5"
"142";"16973";"63.12";"31.927";"8";"D";"1"
"143";"11559";"69.89";"18.915";"8";"A";"8"
"144";"12936";"63.84";"22.790";"16";" ";"6"
"145";"11116";"76.21";"15.860";"15";" ";"1"
"146";"19415";"65.84";"50.361";"10";"F";"4"
"147";"19404";"13.61";"16.190";"13";"F";"4"
"148";"9357";"87.83";"45.191";"15";"A";"3"
"149";"12943";"71.52";"37.518";"8";"A";"8"
"150";"2760";"12.73";"12.325";"2";"D";"9"
"151";"29084";"54.39";"11.723";"6";"F";"2"
"152";"579";"100.00";"25.245";"4";" ";"10"
"153";"17624";"94.34";"25.854";"16";"C";"7"
"154";"12987";"14.57";"39.963";"18";"B";"4"
"155";"1968";"84.88";"3.659";"17";"F";"6"
"156";"6602";"40.30";"41.485";"19";"C";"9"
"157";"27236";"40.95";"50.470";"13";"C";"7"
"158";"6271";"38.37";"22.377";"17";"D";"9"
"159";"9356";"19.09";"48.852";"4";"D";"8"
"160";"6043";"74.49";"7.505";"10";"F";"4"
"161";"9027";"23.94";"50.438";"1";"D";"9"
"162";"28478";"85.60";"8.710";"11";"C";"3"
"163";"15607";"86.74";"52.388";"1";"D";"10"
"164";"19389";"49.36";"50.468";"12";"F";"5"
"165";"6894";"89.75";"44.061";"18";"E";"4"
"166";"5761";"84.15";"29.296";"19";"E";"2"
"167";"20584";"46.39";"4.855";"15";"D";"8"
"168";"4985";"51.25";"4.345";"10";"E";"7"
"169";"21785";"12.89";"20.101";"3";"A";"7"
"170";"26079";"18.02";"28.521";"4";"F";"7"
"171";"15172";"22.24";"38.158";"8";"E";"5"
"172";"7231";"10.02";"33.110";"9";"F";"6"
"173";"1509";"89.73";"10.522";"7";"D";"9"
"174";"23402";"70.23";"49.219";"19";"E";"10"
"175";"14319";"77.49";"18.733";"3";"B";"10"
"176";"24627";"25.87";"42.833";"8";"B";"10"
"177";"3264";"15.79";"33.776";"3";"D";"7"
"178";"12373";"87.61";"51.093";"6";"D";"7"
"179";"17437";"16.58";"21.264";"2";"C";"1"
"180";"9492";"16.33";"50.457";"2";"A";"6"
"181";"17854";"52.98";"6.325";"4";"F";"1"
"182";"4658";"65.93";"38.033";"2";"F";"4"
"183";"2953";"52.78";"13.369";"17";" ";"3"
